form,sound,meaning,type,etymology
壳,qiao4,"variant of 殼|壳[qiao4]",ideographic,"A shell discarded 冗 by a soldier 士"
壳,ke2,"(coll.) shell (of an egg, nut, crab etc); case; casing; housing (of a machine or device)",ideographic,"A shell discarded 冗 by a soldier 士"
壳,qiao4,"(bound form) shell; Taiwan pr. [ke2]",ideographic,"A shell discarded 冗 by a soldier 士"
淆,xiao2,"variant of 淆[xiao2]",pictophonetic,"water"
肴,yao2,"variant of 肴[yao2]",pictophonetic,"meat"
殿,dian4,"palace hall",,
毁,hui3,"to destroy; to ruin; to defame; to slander",ideographic,"A man using a tool 殳 to strike 工 a clay vessel 臼"
毅,yi4,"firm and resolute; staunch",pictophonetic,"tool"
殴,ou1,"surname Ou",pictophonetic,"weapon"
殴,ou1,"to beat up; to hit sb",pictophonetic,"weapon"
毋,wu2,"surname Wu",,
毋,wu2,"(literary) no; don't; to not have; nobody",,
毌,guan4,"archaic variant of 貫|贯[guan4]",,
母,mu3,"mother; elderly female relative; origin; source; (of animals) female",ideographic,"A mother's breasts"
每,mei3,"each; every",pictophonetic,
毒,du2,"poison; to poison; poisonous; malicious; cruel; fierce; narcotics",pictophonetic,"a poisonous plant"
毓,yu4,"(literary) to produce; to foster; to nurture",pictophonetic,"mother"
比,bi3,"Belgium; Belgian; abbr. for 比利時|比利时[Bi3 li4 shi2]",ideographic,"Two spoons 匕 side-by-side; 匕 also provides the pronunciation"
比,bi1,"euphemistic variant of 屄[bi1]",ideographic,"Two spoons 匕 side-by-side; 匕 also provides the pronunciation"
比,bi3,"to compare; (followed by a noun and adjective) more {adj.} than {noun}; ratio; to gesture; (Taiwan pr. [bi4] in some compounds derived from Classical Chinese)",ideographic,"Two spoons 匕 side-by-side; 匕 also provides the pronunciation"
毖,bi4,"careful; to prevent",pictophonetic,"compare"
毗,pi2,"to adjoin; to border on",pictophonetic,"field"
毗,pi2,"variant of 毗[pi2]",pictophonetic,"field"
毚,chan2,"cunning; artful",ideographic,"Eating two whole rabbits 㲋 and 兔"
毛,mao2,"surname Mao",,
毛,mao2,"hair; feather; down; wool; mildew; mold; coarse or semifinished; young; raw; careless; unthinking; nervous; scared; (of currency) to devalue or depreciate; classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])",,
毪,mu2,"a type of woolen fabric made in Tibet",pictophonetic,"fur"
毫,hao2,"hair; drawing brush; (in the) least; one thousandth; currency unit, 0.1 yuan",pictophonetic,"hair"
毯,tan3,"blanket; rug",pictophonetic,"fur"
毳,cui4,"crisp; brittle; fine animal hair",ideographic,"Many fine hairs 毛 forming a pelt"
毹,shu1,"rug",pictophonetic,"fur"
毽,jian4,"shuttlecock",pictophonetic,"feathers"
毵,san1,"long-haired; shaggy",pictophonetic,"feathers"
牦,mao2,"yak (Bos grunniens)",ideographic,"The fur 毛 of an ox 牛; 毛 also provides the pronunciation"
氅,chang3,"overcoat",pictophonetic,"fur"
氆,pu3,"used in 氆氌|氆氇[pu3 lu5]",pictophonetic,"fur"
毡,zhan1,"felt (fabric)",pictophonetic,"fur"
毡,zhan1,"variant of 氈|毡[zhan1]",pictophonetic,"fur"
氇,lu3,"used in 氆氌|氆氇[pu3lu5]",pictophonetic,"fur"
氍,qu2,"woolen rug",pictophonetic,"fur"
氏,shi4,"clan name; maiden name",ideographic,"A person bowing down"
氏,zhi1,"see 月氏[Yue4 zhi1] and 閼氏|阏氏[yan1 zhi1]",ideographic,"A person bowing down"
氐,di1,"name of an ancient tribe",pictophonetic,"clan"
氐,di3,"foundation; on the whole",pictophonetic,"clan"
民,min2,"surname Min",ideographic,"An eye 巳 pierced by a dagger 戈, an old mark of slavery"
民,min2,"(bound form) the people; inhabitants of a country",ideographic,"An eye 巳 pierced by a dagger 戈, an old mark of slavery"
氓,mang2,"used in 流氓[liu2 mang2]",pictophonetic,"citizens"
氓,meng2,"common people",pictophonetic,"citizens"
氕,pie1,"protium 1H; light hydrogen, the most common isotope of hydrogen, having no neutron, so atomic weight 1",pictophonetic,"gas"
氖,nai3,"neon (chemistry)",pictophonetic,"gas"
氘,dao1,"deuterium 2H; heavy hydrogen, isotope of hydrogen having 1 neutron in its nucleus, so atomic weight 2",pictophonetic,"gas"
氙,xian1,"xenon (chemistry)",pictophonetic,"gas"
氚,chuan1,"(chemistry) tritium",pictophonetic,"gas"
氛,fen1,"miasma; vapor",pictophonetic,"air"
氜,ri4,"old name for 氦[hai4], helium",ideographic,"The gas 气 that comprises the sun 日"
氜,yang2,"old variant of 陽|阳[yang2]",ideographic,"The gas 气 that comprises the sun 日"
氟,fu2,"fluorine (chemistry)",pictophonetic,"gas"
氡,dong1,"radon (chemistry)",pictophonetic,"gas"
气,qi4,"gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi",ideographic,"A person 亻 breathing air"
氤,yin1,"used in 氤氳|氤氲[yin1 yun1]",pictophonetic,"gas"
氦,hai4,"helium (chemistry)",pictophonetic,"gas"
氧,yang3,"oxygen (chemistry)",pictophonetic,"gas"
氨,an1,"ammonia",pictophonetic,"gas"
氪,ke4,"krypton (chemistry)",pictophonetic,"gas"
氢,qing1,"hydrogen (chemistry)",pictophonetic,"gas"
氩,ya4,"argon (chemistry)",pictophonetic,"gas"
氮,dan4,"nitrogen (chemistry)",pictophonetic,"gas"
氯,lu:4,"chlorine (chemistry)",pictophonetic,"gas"
氰,qing2,"cyanogen (CN)2; ethanedinitrile; Taiwan pr. [qing1]",pictophonetic,"gas"
氲,yun1,"used in 氤氳|氤氲[yin1 yun1]",pictophonetic,"air"
水,shui3,"surname Shui",pictographic,"A river running between two banks; compare 川"
水,shui3,"water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes",pictographic,"A river running between two banks; compare 川"
氵,shui3,"""water"" radical in Chinese characters (Kangxi radical 85), occurring in 沒|没[mei2], 法[fa3], 流[liu2] etc; see also 三點水|三点水[san1 dian3 shui3]",,
冰,bing1,"variant of 冰[bing1]",ideographic,"Ice-cold冫 water 水"
永,yong3,"forever; always; perpetual",,
氹,dang4,"variant of 凼[dang4]",ideographic,"A furrow 乙 filled with water 水"
氺,shui3,"archaic variant of 水[shui3]",ideographic,"A river running between two banks; compare 川 and 水"
氽,tun3,"to float; to deep-fry",pictophonetic,"water"
泛,fan4,"variant of 泛[fan4]",pictophonetic,"water"
氿,gui3,"mountain spring",pictophonetic,"water"
汀,ting1,"sandbar; shoal; sandbank",pictophonetic,"water"
汁,zhi1,"juice",pictophonetic,"water"
求,qiu2,"to seek; to look for; to request; to demand; to beseech",,
汆,cuan1,"quick-boil; to boil for a short time",pictophonetic,"water"
汊,cha4,"branching stream",ideographic,"A stream 氵 that forks 叉; 叉 also provides the pronunciation"
泛,fan4,"variant of 泛[fan4]",pictophonetic,"water"
汐,xi1,"night tides; evening ebbtide; Taiwan pr. [xi4]",ideographic,"The evening 夕 tide 氵; 夕 also provides the pronunciation"
汔,qi4,"near",pictophonetic,"water"
汕,shan4,"bamboo fish trap; used in names of places connected with Shantou 汕頭|汕头[Shan4 tou2]",pictophonetic,"water"
汗,han2,"see 可汗[ke4 han2], 汗國|汗国[han2 guo2]",pictophonetic,"water"
汗,han4,"perspiration; sweat; CL:滴[di1],頭|头[tou2],身[shen1]; to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)",pictophonetic,"water"
污,wu1,"variant of 污[wu1]",pictophonetic,"water"
汛,xun4,"high water; flood; to sprinkle water",pictophonetic,"water"
汜,si4,"stream which returns after branching",pictophonetic,"water"
汝,ru3,"thou",pictophonetic,"water"
汞,gong3,"mercury (chemistry)",pictophonetic,"water"
江,jiang1,"surname Jiang",pictophonetic,"water"
江,jiang1,"river; CL:條|条[tiao2],道[dao4]",pictophonetic,"water"
池,chi2,"surname Chi",pictophonetic,"water"
池,chi2,"pond; reservoir; moat",pictophonetic,"water"
污,wu1,"dirty; filthy; foul; corrupt; to smear; to defile; dirt; filth",pictophonetic,"water"
汧,qian1,"name of a river flowing through Gansu to Shaanxi Province",pictophonetic,"water"
汧,qian1,"marsh; float",pictophonetic,"water"
汨,mi4,"name of a river, the southern tributary of Miluo river 汨羅江|汨罗江[Mi4 luo2 jiang1]",pictophonetic,"water"
汩,gu3,"confused; extinguished; (onom.) used in 汩汩[gu3 gu3]",ideographic,"The sound 曰 of a stream 氵"
汪,wang1,"surname Wang",pictophonetic,"water"
汪,wang1,"expanse of water; ooze; (onom.) bark; classifier for liquids: pool, puddle",pictophonetic,"water"
汰,tai4,"to discard; to eliminate",pictophonetic,"water"
汲,ji2,"surname Ji",pictophonetic,"water"
汲,ji2,"to draw (water)",pictophonetic,"water"
汴,bian4,"name of a river in Henan; Henan",pictophonetic,"water"
汶,wen4,"Wen River in northwest Sichuan (same as 汶川); classical name of river in Shandong, used to refer to Qi 齊國|齐国",pictophonetic,"water"
决,jue2,"to decide; to determine; to execute (sb); (of a dam etc) to breach or burst; definitely; certainly",,
汽,qi4,"steam; vapor",ideographic,"Liquid 氵 gas 气; 气 also provides the pronunciation"
汾,fen2,"name of a river",pictophonetic,"water"
沁,qin4,"to seep; to percolate",pictophonetic,"water"
沂,yi2,"Yi River, Shandong",pictophonetic,"water"
沃,wo4,"fertile; rich; to irrigate; to wash (of river)",pictophonetic,"water"
沅,yuan2,"Yuan river in Guizhou and Hunan",pictophonetic,"water"
沆,hang4,"a ferry; fog; flowing",pictophonetic,"water"
沇,yan3,"surname Yan",pictophonetic,"water"
沇,yan3,"archaic variant of 兗|兖[yan3]",pictophonetic,"water"
沈,shen3,"surname Shen",pictophonetic,"water"
沈,chen2,"variant of 沉[chen2]",pictophonetic,"water"
沉,chen2,"to submerge; to immerse; to sink; to keep down; to lower; to drop; deep; profound; heavy",ideographic,"An excessive 冗 amount of water 氵"
沌,dun4,"used in 混沌[hun4dun4]",pictophonetic,"water"
沏,qi1,"to steep (tea)",pictophonetic,"water"
沐,mu4,"to bathe; to cleanse; to receive; to be given",pictophonetic,"water"
没,mei2,"(negative prefix for verbs) have not; not",pictophonetic,"water"
没,mo4,"drowned; to end; to die; to inundate",pictophonetic,"water"
沓,ta4,"surname Ta",,
沓,da2,"classifier for sheets of papers etc: pile, pad; Taiwan pr. [ta4]",,
沓,ta4,"again and again; many",,
沔,mian3,"inundation; name of a river",pictophonetic,"water"
冲,chong1,"(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with",pictophonetic,"water"
沙,sha1,"surname Sha",pictophonetic,"water"
沙,sha1,"granule; hoarse; raspy; sand; powder; CL:粒[li4]; abbr. for Tsar or Tsarist Russia",pictophonetic,"water"
沛,pei4,"copious; abundant",ideographic,"Circulating 巿 water 氵, representing a flood"
沫,mo4,"foam; suds",pictophonetic,"water"
沭,shu4,"river in Shandong",pictophonetic,"water"
沮,ju3,"to destroy; to stop",pictophonetic,"water"
沱,tuo2,"tearful; to branch (of river)",pictophonetic,"water"
河,he2,"river; CL:條|条[tiao2],道[dao4]",pictophonetic,"water"
沸,fei4,"to boil",pictophonetic,"water"
油,you2,"oil; fat; grease; petroleum; to apply tung oil, paint or varnish; oily; greasy; glib; cunning",pictophonetic,"water"
治,zhi4,"to rule; to govern; to manage; to control; to harness (a river); to treat (a disease); to wipe out (a pest); to punish; to research",ideographic,"A structure 台 that directs the flow of water 氵"
沼,zhao3,"pond; pool",pictophonetic,"water"
沽,gu1,"abbr. for Tianjin 天津 (also 津沽)",pictophonetic,"water"
沽,gu1,"to buy; to sell",pictophonetic,"water"
沾,zhan1,"to moisten; to be infected by; to receive benefit or advantage through a contact; to touch",pictophonetic,"water"
沿,yan2,"along; to follow (a line, tradition etc); to carry on; to trim (a border with braid, tape etc); border; edge",pictophonetic,"water"
况,kuang4,"moreover; situation",,
泄,xie4,"variant of 洩|泄[xie4]",pictophonetic,"water"
泅,qiu2,"to swim (bound form)",pictophonetic,"water"
泆,yi4,"licentious, libertine, dissipate",pictophonetic,"water"
泉,quan2,"spring (small stream); mouth of a spring; coin (archaic)",ideographic,"Water 水 flowing from a spring 白"
泊,bo2,"to anchor; touch at; to moor",pictophonetic,"water"
泊,po1,"lake; Taiwan pr. [bo2]",pictophonetic,"water"
泌,bi4,"used in 泌陽|泌阳[Bi4 yang2]",pictophonetic,"water"
泌,mi4,"(bound form) to secrete",pictophonetic,"water"
泐,le4,"to write",ideographic,"To deposit 氵 a new silt layer 阞; 阞 also provides the pronunciation"
泓,hong2,"clear; vast and deep; classifier for a body of clear water",ideographic,"Expansive 弘 water 氵; 弘 also provides the pronunciation"
泔,gan1,"slop from rinsing rice",ideographic,"Sweet 甘 water 氵; 甘 also provides the pronunciation"
法,fa3,"France; French; abbr. for 法國|法国[Fa3 guo2]; Taiwan pr. [Fa4]",ideographic,"The course 去 followed by a stream 氵"
法,fa3,"law; method; way; to emulate; (Buddhism) dharma; (abbr. for 法家[Fa3 jia1]) the Legalists; (physics) farad (abbr. for 法拉[fa3 la1])",ideographic,"The course 去 followed by a stream 氵"
泖,mao3,"still water",pictophonetic,"water"
泗,si4,"river in Shandong",pictophonetic,"water"
泗,si4,"nasal mucus",pictophonetic,"water"
泙,ping2,"sound of water splashing",pictophonetic,"water"
泛,fan4,"(bound form) general; non-specific; extensive; pan-; to flood; (literary) to float about; to be suffused with (a color, emotion, odor etc)",pictophonetic,"water"
泠,ling2,"surname Ling",pictophonetic,"water"
泠,ling2,"sound of water flowing",pictophonetic,"water"
泡,pao1,"puffed; swollen; spongy; small lake (esp. in place names); classifier for urine or feces",pictophonetic,"water"
泡,pao4,"bubble; foam; blister; to soak; to steep; to infuse; to dawdle; to loiter; to pick up (a girl); to get off with (a sexual partner); classifier for occurrences of an action; classifier for number of infusions",pictophonetic,"water"
波,bo1,"Poland; Polish; abbr. for 波蘭|波兰[Bo1 lan2]",pictophonetic,"water"
波,bo1,"wave; ripple; storm; surge",pictophonetic,"water"
泣,qi4,"to sob",pictophonetic,"water"
泥,ni2,"mud; clay; paste; pulp",pictophonetic,"water"
泥,ni4,"restrained",pictophonetic,"water"
注,zhu4,"to inject; to pour into; to concentrate; to pay attention; stake (gambling); classifier for sums of money; variant of 註|注[zhu4]",pictophonetic,"water"
泫,xuan4,"weep",pictophonetic,"water"
泮,pan4,"(literary) to melt; to dissolve",pictophonetic,"water"
泯,min3,"(bound form) to vanish; to die out; to obliterate",pictophonetic,"water"
泰,tai4,"Mt Tai 泰山[Tai4 Shan1] in Shandong; abbr. for Thailand",ideographic,"Water 氺 contained by a dam"
泰,tai4,"safe; peaceful; most; grand",ideographic,"Water 氺 contained by a dam"
泱,yang1,"agitated (wind, cloud); boundless",pictophonetic,"water"
泳,yong3,"swimming; to swim",pictophonetic,"water"
泵,beng4,"pump (loanword)",ideographic,"To pull water 水 out of stone 石"
洄,hui2,"eddying; whirling (of water); to go against the current",ideographic,"Swirling 回 water 氵; 回 also provides the pronunciation"
洇,yan1,"variant of 湮[yan1]",pictophonetic,"water"
洇,yin1,"to soak; to blotch; to splotch",pictophonetic,"water"
洋,yang2,"ocean; vast; foreign; silver dollar or coin",pictophonetic,"water"
洌,lie4,"pure; to cleanse",pictophonetic,"water"
洎,ji4,"to reach; when",pictophonetic,"water"
洗,xi3,"to wash; to bathe; to develop (photographs); to shuffle (cards etc); to erase (a recording)",pictophonetic,"water"
洙,zhu1,"surname Zhu",pictophonetic,"water"
洙,zhu1,"name of a river",pictophonetic,"water"
洚,jiang4,"flood",pictophonetic,"water"
洛,luo4,"surname Luo; old name of several rivers (in Henan, Shaanxi, Sichuan and Anhui)",pictophonetic,"water"
洛,luo4,"used in transliteration",pictophonetic,"water"
洞,dong4,"cave; hole; zero (unambiguous spoken form when spelling out numbers); CL:個|个[ge4]",pictophonetic,"water"
洣,mi3,"Mi river in Hunan, tributary of Xiangjiang 湘江",pictophonetic,"water"
津,jin1,"abbr. for Tianjin 天津[Tian1 jin1]",pictophonetic,"water"
津,jin1,"saliva; sweat; a ferry crossing; a ford (river crossing)",pictophonetic,"water"
洧,wei3,"name of a river",pictophonetic,"water"
洨,xiao2,"Xiao River in Hebei province",pictophonetic,"water"
洨,xiao2,"(Tw) (vulgar) semen (from Taiwanese 潲, Tai-lo pr. [siâu])",pictophonetic,"water"
泄,xie4,"(bound form) to leak out; to discharge; (fig.) to divulge",pictophonetic,"water"
洪,hong2,"surname Hong",ideographic,"All 共 the water 氵; 共 also provides the pronunciation"
洪,hong2,"flood; big; great",ideographic,"All 共 the water 氵; 共 also provides the pronunciation"
洫,xu4,"to ditch; a moat",pictophonetic,"water"
洮,tao2,"to cleanse; name of a river",pictophonetic,"water"
洱,er3,"see 洱海[Er3 hai3]",pictophonetic,"water"
洲,zhou1,"continent; island in a river",ideographic,"A state 州 surrounded by water 氵; 州 also provides the pronunciation"
洳,ru4,"damp; boggy; marshy",pictophonetic,"water"
洵,xun2,"truly; whirlpool",pictophonetic,"water"
汹,xiong1,"torrential rush; tumultuous",pictophonetic,"water"
洹,huan2,"name of a river",pictophonetic,"water"
活,huo2,"to live; alive; living; work; workmanship",pictophonetic,"water"
洼,wa1,"variant of 窪|洼[wa1]",pictophonetic,"water"
洽,qia4,"accord; to make contact; to agree; to consult with; extensive",ideographic,"To combine 合 two solutions 氵"
派,pa1,"used in 派司[pa1 si5]",,
派,pai4,"clique; school; group; faction; to dispatch; to send; to assign; to appoint; pi (Greek letter Ππ); the circular ratio pi = 3.1415926; (loanword) pie",,
流,liu2,"to flow; to disseminate; to circulate or spread; to move or drift; to degenerate; to banish or send into exile; stream of water or sth resembling one; class, rate or grade",pictophonetic,"water"
浙,zhe4,"abbr. for Zhejiang 浙江 province in east China",pictophonetic,"water"
浚,jun4,"to dredge (a river)",pictophonetic,"water"
浜,bang1,"stream; creek",pictophonetic,"water"
浜,bin1,"Japanese variant of 濱|滨[bin1]; used in Japanese place names such as Yokohama 橫浜|横浜[Heng2 bin1] with phonetic value hama",pictophonetic,"water"
浞,zhuo2,"(coll.) to drench",pictophonetic,"water"
浠,xi1,"name of a river in Hubei",pictophonetic,"water"
浣,huan4,"to wash; to rinse; any of three 10-day division of the month (during Tang dynasty); Taiwan pr. [huan3]; also pr. [wan3]",pictophonetic,"water"
浦,pu3,"surname Pu",pictophonetic,"water"
浦,pu3,"river bank; shore; river drainage ditch (old)",pictophonetic,"water"
浩,hao4,"grand; vast (water)",pictophonetic,"water"
浪,lang4,"wave; breaker; unrestrained; dissipated; to stroll; to ramble",pictophonetic,"water"
浮,fu2,"to float; superficial; floating; unstable; movable; provisional; temporary; transient; impetuous; hollow; inflated; to exceed; superfluous; excessive; surplus",pictophonetic,"water"
浯,wu2,"(name of several rivers in China)",pictophonetic,"water"
浴,yu4,"bath; to bathe",pictophonetic,"water"
海,hai3,"surname Hai",pictophonetic,"water"
海,hai3,"ocean; sea; CL:個|个[ge4],片[pian4]; great number of people or things; (dialect) numerous",pictophonetic,"water"
浸,jin4,"to immerse; to soak; to steep; gradually",pictophonetic,"water"
浃,jia1,"soaked; to wet; to drench; Taiwan pr. [jia2]",pictophonetic,"water"
浼,mei3,"to ask a favor of",pictophonetic,"water"
浽,sui1,"see 浽溦[sui1 wei1]",pictophonetic,"water"
涂,tu2,"surname Tu",pictophonetic,"water"
涂,tu2,"variant of 途[tu2]",pictophonetic,"water"
涅,nie4,"(literary) alunite (formerly used as a black dye); (literary) to dye black",pictophonetic,"water"
泾,jing1,"Jing River",pictophonetic,"water"
消,xiao1,"to diminish; to subside; to consume; to reduce; to idle away (the time); (after 不[bu4] or 只[zhi3] or 何[he2] etc) to need; to require; to take",pictophonetic,"water"
涉,she4,"(literary) to wade across a body of water; (bound form) to experience; to undergo; to be involved; to concern",ideographic,"To wade 步 through a stream 氵"
涌,chong1,"(used in place names)",pictophonetic,"water"
涌,yong3,"variant of 湧|涌[yong3]",pictophonetic,"water"
涎,xian2,"saliva",pictophonetic,"water"
涑,su4,"name of a river",pictophonetic,"water"
涓,juan1,"surname Juan",pictophonetic,"water"
涓,juan1,"brook; to select",pictophonetic,"water"
涔,cen2,"overflow; rainwater; tearful",pictophonetic,"water"
涕,ti4,"tears; nasal mucus",pictophonetic,"water"
莅,li4,"river in Hebei",ideographic,"A place 位 where grass 艹 grows; 立 also provides the pronunciation"
莅,li4,"variant of 蒞|莅[li4], to attend",ideographic,"A place 位 where grass 艹 grows; 立 also provides the pronunciation"
涪,fu2,"(name of a river)",pictophonetic,"water"
涫,guan4,"(classical) to boil",pictophonetic,"water"
涮,shuan4,"to rinse; to trick; to fool sb; to cook by dipping finely sliced ingredients briefly in boiling water or soup (generally done at the dining table)",pictophonetic,"water"
涯,ya2,"border; horizon; shore",pictophonetic,"water"
液,ye4,"(bound form) a liquid; also pr. [yi4]",pictophonetic,"water"
涵,han2,"to contain; to include; culvert",pictophonetic,"water"
涸,he2,"to dry; to dry up",ideographic,"To run out 氵 of strength 固; 固 also provides the pronunciation"
凉,liang2,"the five Liang of the Sixteen Kingdoms, namely: Former Liang 前涼|前凉 (314-376), Later Liang 後涼|后凉 (386-403), Northern Liang 北涼|北凉 (398-439), Southern Liang 南涼|南凉[Nan2 Liang2] (397-414), Western Liang 西涼|西凉 (400-421)",pictophonetic,"ice"
凉,liang2,"cool; cold",pictophonetic,"ice"
凉,liang4,"to let sth cool down",pictophonetic,"ice"
涿,zhuo1,"place name",pictophonetic,"water"
淀,dian4,"shallow lake",pictophonetic,"water"
淄,zi1,"black; name of a river",pictophonetic,"water"
淅,xi1,"(onom.) sound of rain, sleet etc",pictophonetic,"water"
淆,xiao2,"confused and disorderly; mixed; Taiwan pr. [yao2]",pictophonetic,"water"
淇,qi2,"name of a river",pictophonetic,"water"
淋,lin2,"to sprinkle; to drip; to pour; to drench",pictophonetic,"water"
淋,lin4,"to filter; to strain; to drain; gonorrhea; (TCM) strangury",pictophonetic,"water"
淌,tang3,"to drip; to trickle; to shed (tears)",pictophonetic,"water"
淑,shu1,"(bound form) (of women) gentle; kind; lovely; admirable; (used in given names); Taiwan pr. [shu2]",pictophonetic,"water"
凄,qi1,"intense cold; frigid; dismal; grim; bleak; sad; mournful",pictophonetic,"ice"
淖,nao4,"surname Nao",pictophonetic,"water"
淖,nao4,"slush; mud",pictophonetic,"water"
淘,tao2,"to wash; to clean out; to cleanse; to eliminate; to dredge",pictophonetic,"water"
淙,cong2,"noise of water",pictophonetic,"water"
泪,lei4,"tears",ideographic,"Water 氵 from the eyes 目"
浙,zhe4,"variant of 浙[Zhe4]",pictophonetic,"water"
淝,fei2,"name of a river",pictophonetic,"water"
淞,song1,"name of a river in Jiangsu Province",pictophonetic,"water"
淞,song1,"variant of 凇[song1]",pictophonetic,"water"
淠,pi4,"luxuriant (of water plants)",pictophonetic,"water"
淡,dan4,"insipid; diluted; weak; mild; light in color; tasteless; indifferent; (variant of 氮[dan4]) nitrogen",pictophonetic,"water"
淤,yu1,"silt; river sludge; to silt up; choked with silt; variant of 瘀[yu1]",pictophonetic,"water"
渌,lu4,"clear (water); strain liquids",pictophonetic,"water"
淦,gan4,"name of a river",pictophonetic,"water"
净,jing4,"clean; completely; only; net (income, exports etc); (Chinese opera) painted face male role",pictophonetic,"water"
淩,ling2,"variant of 凌[ling2]",pictophonetic,"water"
沦,lun2,"to sink (into ruin, oblivion); to be reduced to",pictophonetic,"water"
淫,yin2,"excess; excessive; wanton; lewd; lascivious; obscene; depraved",,
淬,cui4,"dip into water; to temper",pictophonetic,"water"
淮,huai2,"name of a river",pictophonetic,"water"
淯,yu4,"name of river; old name of Baihe 白河 in Henan; same as 育水",pictophonetic,"water"
深,shen1,"deep (lit. and fig.)",ideographic,"Deep 罙 water 氵"
淳,chun2,"genuine; pure; honest",pictophonetic,"water"
渊,yuan1,"deep pool; deep; profound",pictophonetic,"water"
涞,lai2,"brook; ripple",pictophonetic,"water"
混,hun2,"muddy; turbid (variant of 渾|浑[hun2]); brainless; foolish (variant of 渾|浑[hun2]); Taiwan pr. [hun4]",pictophonetic,"water"
混,hun4,"to mix; to mingle; muddled; to drift along; to muddle along; to pass for; to get along with sb; thoughtless; reckless",pictophonetic,"water"
淹,yan1,"to flood; to submerge; to drown; to irritate the skin (of liquids); to delay",pictophonetic,"water"
浅,jian1,"sound of moving water",pictophonetic,"water"
浅,qian3,"shallow; light (color)",pictophonetic,"water"
添,tian1,"to add; to increase; to replenish",pictophonetic,"water"
淼,miao3,"a flood; infinity",ideographic,"Water 水 everywhere"
清,qing1,"Qing (Wade-Giles: Ch'ing) dynasty of China (1644-1911); surname Qing",pictophonetic,"water"
清,qing1,"(of water etc) clear; clean; quiet; still; pure; uncorrupted; clear; distinct; to clear; to settle (accounts)",pictophonetic,"water"
渖,shen3,"old variant of 瀋|沈[shen3]",pictophonetic,"water"
涣,huan4,"to dissipate; to dissolve",pictophonetic,"water"
渚,zhu3,"islet; bank",pictophonetic,"water"
减,jian3,"to lower; to decrease; to reduce; to subtract; to diminish",pictophonetic,"ice"
渝,yu2,"short name for Chongqing 重慶|重庆[Chong2 qing4]; old name of Jialing River 嘉陵江[Jia1 ling2 Jiang1] in Sichuan",pictophonetic,"water"
渠,qu2,"surname Qu",ideographic,"A ditch 洰 made of wood 木; 洰 also provides the pronunciation"
渠,ju4,"how can it be that?",ideographic,"A ditch 洰 made of wood 木; 洰 also provides the pronunciation"
渠,qu2,"(artificial) stream; canal; drain; ditch (CL:條|条[tiao2]); (literary) big; great; (dialect) he; she; him; her; (old) rim of a carriage wheel; felloe",ideographic,"A ditch 洰 made of wood 木; 洰 also provides the pronunciation"
渡,du4,"to cross; to pass through; to ferry",pictophonetic,"water"
渣,zha1,"slag (in mining or smelting); dregs",pictophonetic,"water"
渤,bo2,"same as 渤海[Bo2 Hai3], Bohai Sea between Liaoning and Shandong; Gulf of Zhili or Chihli",pictophonetic,"water"
渥,wo4,"to enrich; to moisten",pictophonetic,"water"
涡,guo1,"name of a river",ideographic,"A mouth 呙 made of water 氵"
涡,wo1,"eddy; whirlpool",ideographic,"A mouth 呙 made of water 氵"
渫,xie4,"surname Xie",pictophonetic,"water"
渫,xie4,"to get rid of; to discharge; to dredge",pictophonetic,"water"
测,ce4,"to survey; to measure; to conjecture",pictophonetic,"water"
渭,wei4,"the Wei River in Shaanxi through the Guanzhong Plain 關中平原|关中平原[Guan1 zhong1 Ping2 yuan2]",pictophonetic,"water"
港,gang3,"Hong Kong (abbr. for 香港[Xiang1gang3]); surname Gang",pictophonetic,"water"
港,gang3,"harbor; port; CL:個|个[ge4]",pictophonetic,"water"
渲,xuan4,"wash (color)",pictophonetic,"water"
渴,ke3,"thirsty",pictophonetic,"water"
游,you2,"surname You",ideographic,"To swim freely 斿 through the seas 氵"
游,you2,"to swim; variant of 遊|游[you2]",ideographic,"To swim freely 斿 through the seas 氵"
渺,miao3,"(of an expanse of water) vast; distant and indistinct; tiny or insignificant",pictophonetic,"water"
浑,hun2,"muddy; turbid; brainless; foolish; (bound form) simple; natural; (bound form) whole; entire; all over",pictophonetic,"water"
湃,pai4,"used in 澎湃[peng2pai4]",pictophonetic,"water"
湄,mei2,"brink; edge",pictophonetic,"water"
湉,tian2,"(literary) smoothly flowing, placid (water)",ideographic,"Calm 恬 water 氵; 恬 also provides the pronunciation"
凑,cou4,"to gather together, pool or collect; to happen by chance; to move close to; to exploit an opportunity",pictophonetic,"ice"
湍,tuan1,"to rush (of water)",pictophonetic,"water"
湎,mian3,"drunk",ideographic,"A man's face 面 after drinking 氵; 面 also provides the pronunciation"
湓,pen2,"flowing of water; name of a river",pictophonetic,"water"
湔,jian1,"to wash; to redress (a wrong); name of a river",pictophonetic,"water"
湖,hu2,"lake; CL:個|个[ge4],片[pian4]",pictophonetic,"water"
