form,sound,meaning,type,etymology
丷,xx5,"one of the characters used in kwukyel, an ancient Korean writing system",,
丸,wan2,"ball; pellet; pill",pictographic,"A fist 九 holding a pebble 丶"
丹,dan1,"red; pellet; powder; cinnabar",ideographic,"A red pellet 丶 from a mine 井"
主,zhu3,"owner; master; host; individual or party concerned; God; Lord; main; to indicate or signify; trump card (in card games)",pictographic,"A lamp 王 with a flame 丶"
丿,pie3,"radical in Chinese characters (Kangxi radical 4), aka 撇[pie3]",,
乂,yi4,"to regulate; to govern; to control; to mow",ideographic,"Shears, for cultivating a garden"
乃,nai3,"to be; thus; so; therefore; then; only; thereupon",ideographic,"A pregnant woman; compare 孕"
久,jiu3,"(long) time; (long) duration of time",,
乇,tuo1,"archaic variant of 托[tuo1]",,
乇,zhe2,"""blade of grass"" component in Chinese characters",,
幺,yao1,"surname Yao",,
幺,yao1,"youngest; most junior; tiny; one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military); one or ace on dice or dominoes; variant of 吆[yao1], to shout",,
之,zhi1,"(possessive particle, literary equivalent of 的[de5]); him; her; it",ideographic,"A foot meaning ""to follow""; cursive version of 止"
乍,zha4,"at first; suddenly; abruptly; to spread; (of hair) to stand on end; bristling",,
乎,hu1,"(classical particle similar to 於|于[yu2]) in; at; from; because; than; (classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment)",,
乏,fa2,"short of; tired",ideographic,"A foot 之 running into a wall or barrier 丿"
乑,zhong4,"to stand side by side; variant of 眾|众[zhong4]",,
乒,ping1,"(onom.) ping; bing",ideographic,"A ball bouncing back and forth; compare 乓"
乓,pang1,"(onom.) bang",ideographic,"A ball bouncing back and forth; compare 乒"
乖,guai1,"(of a child) obedient, well-behaved; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal",,
乘,cheng2,"surname Cheng",ideographic,"Two feet 北 climbing a beanstalk 禾"
乘,cheng2,"to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (math.); Buddhist sect or creed",ideographic,"Two feet 北 climbing a beanstalk 禾"
乘,sheng4,"(archaic) four horse military chariot; (archaic) four; generic term for history books",ideographic,"Two feet 北 climbing a beanstalk 禾"
乙,yi3,"second of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; second in order; letter ""B"" or Roman ""II"" in list ""A, B, C"", or ""I, II, III"" etc; second party (in legal contract, usually 乙方[yi3 fang1], as opposed to 甲方[jia3 fang1]); ethyl; bent; winding; radical in Chinese characters (Kangxi radical 5); ancient Chinese compass point: 105°",pictographic,"A swallow"
乙,zhe2,"turning stroke (in Chinese characters), aka 折[zhe2]",pictographic,"A swallow"
乚,ya4,"component in Chinese characters; archaic variant of 毫[hao2]; archaic variant of 乙[yi3]",,
乛,zhe2,"variant of 乙[zhe2]",,
乜,nie4,"surname Nie",,
乜,mie1,"used in 乜斜[mie1xie5]; (Cantonese) what?",,
九,jiu3,"nine; 9",pictographic,"An elbow"
乞,qi3,"to beg",,
也,ye3,"surname Ye",,
也,ye3,"(adverb) also; both ... and ... (before predicates only); (literary) particle having functions similar to 啊[a5]",,
乩,ji1,"to divine",pictophonetic,"divine"
乳,ru3,"breast; milk",pictophonetic,"hidden"
乶,fu3,"(phonetic ""pol"", used in Korean place names)",pictophonetic,"second"
乾,qian2,"old variant of 乾[qian2]",ideographic,"Rays 十 emanating from the 日; 乞 provides the pronunciation"
干,gan1,"old variant of 乾|干[gan1]",pictographic,"A club or axe"
乾,qian2,"surname Qian",ideographic,"Rays 十 emanating from the 日; 乞 provides the pronunciation"
乾,qian2,"one of the Eight Trigrams 八卦[ba1 gua4], symbolizing heaven; male principle; ☰; ancient Chinese compass point: 315° (northwest)",ideographic,"Rays 十 emanating from the 日; 乞 provides the pronunciation"
干,gan1,"surname Gan",pictographic,"A club or axe"
干,gan1,"dry; dried food; empty; hollow; taken in to nominal kinship; adoptive; foster; futile; in vain; (dialect) rude; blunt; (dialect) to cold-shoulder",pictographic,"A club or axe"
乿,luan4,"archaic variant of 亂|乱[luan4]",,
乿,zhi4,"archaic variant of 治[zhi4]",,
乾,qian2,"variant of 乾[qian2]",ideographic,"Rays 十 emanating from the 日; 乞 provides the pronunciation"
干,gan1,"variant of 乾|干[gan1]",pictographic,"A club or axe"
乱,luan4,"in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary",,
亅,jue2,"""vertical stroke with hook"" radical in Chinese characters (Kangxi radical 6), aka 豎鉤|竖钩[shu4gou1]",,
了,le5,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)",pictographic,"A child swaddled in blanklets; compare 子"
