hanzi,pinyin
囚,qiu2
四,si4
囝,jian3
囝,nan1
回,hui2
囟,xin4
因,yin1
囡,nan1
囤,dun4
囤,tun2
囱,chuang1
囱,cong1
囫,hu2
困,kun4
囷,qun1
囹,ling2
固,gu4
囿,you4
圂,hun4
圃,pu3
圄,yu3
函,han2
囵,lun2
圈,juan1
圈,juan4
圈,quan1
圉,yu3
圊,qing1
国,guo2
国,guo2
围,wei2
围,wei2
园,yuan2
园,yuan2
圆,yuan2
图,tu2
团,tuan2
圙,lve4
圜,huan2
圜,yuan2
土,tu3
土,tu3
圣,ku1
圣,sheng4
在,zai4
圩,wei2
圩,xu1
圪,ge1
圬,wu1
圭,gui1
圮,pi3
圯,yi2
地,de
地,di4
圳,zhen4
圻,qi2
圾,ji1
址,zhi3
坂,ban3
均,jun1
坊,fang1
坊,fang1
坊,fang2
坌,ben4
坍,tan1
坎,kan3
坐,zuo4
坐,zuo4
坑,keng1
坒,bi4
坡,po1
坤,kun1
坦,tan3
坨,tuo2
坩,gan1
坪,ping2
坫,dian4
坭,ni2
坯,pi1
坳,ao4
坴,lu4
丘,qiu1
坷,ke3
坻,chi2
坻,di3
坼,che4
附,fu4
垂,chui2
垃,la1
型,xing2
垌,dong4
垓,gai1
垔,yin1
垚,yao2
垛,duo3
垛,duo4
垛,duo3
垠,yin2
垡,fa2
垢,gou4
垣,yuan2
垤,die2
垧,shang3
垮,kua3
埂,geng3
埃,ai1
埃,ai1
埄,beng3
埄,feng1
埇,yong3
埋,mai2
埋,man2
城,cheng2
埏,shan1
埏,yan2
埒,lie4
埔,bu4
埔,pu3
埕,cheng2
埗,bu4
野,ye3
埝,nian4
域,yu4
埠,bu4
垭,ya1
埤,pi2
埭,dai4
埯,an3
埲,beng3
坎,kan3
埴,zhi2
埵,duo3
埶,yi4
执,zhi2
埸,yi4
培,pei2
基,ji1
埼,qi2
埽,sao4
堀,ku1
堂,tang2
坤,kun1
坚,jian1
堆,dui1
堇,jin3
垩,e4
堋,peng2
堍,tu4
垴,nao3
塍,cheng2
堙,yin1
埚,guo1
堞,die2
堠,hou4
堡,bao3
堡,bu3
堡,pu4
堤,di1
阶,jie1
堪,kan1
尧,yao2
堰,yan4
报,bao4
场,chang2
场,chang3
堵,du3
堿,jian3
塄,leng2
块,kuai4
茔,ying2
塌,ta1
塍,cheng2
垲,kai3
塑,su4
埘,shi2
塔,ta3
塕,weng3
涂,tu2
塘,tang2
冢,zhong3
塞,sai1
塞,sai1
塞,sai4
塞,se4
葬,zang4
坞,wu4
埙,xun1
塥,ge2
填,tian2
塬,yuan2
场,chang2
场,chang3
尘,chen2
堑,qian4
砖,zhuan1
塾,shu2
墀,chi2
墁,man4
境,jing4
墅,shu4
墉,yong1
垫,dian4
墒,shang1
墓,mu4
塔,ta3
坠,zhui4
增,zeng1
墟,xu1
墨,mo4
墨,mo4
墩,dun1
墩,dun1
堕,duo4
坟,fen2
垯,da
墙,qiang2
墼,ji1
垦,ken3
壁,bi4
野,ye3
壅,yong1
坛,tan2
壑,he4
压,ya1
压,ya4
壕,hao2
垒,lei3
圹,kuang4
垆,lu2
坏,huai4
垄,long3
垅,long3
坜,li4
壤,rang3
坝,ba4
士,shi4
士,shi4
壬,ren2
壮,zhuang4
壮,zhuang4
壴,zhu4
壴,zhu4
壹,yi1
壶,hu2
婿,xu4
寿,shou4
寿,shou4
夂,zhi3
夅,jiang4
夅,xiang2
夆,feng2
夊,sui1
夌,ling2
夏,xia4
夏,xia4
夔,kui2
夕,xi1
外,wai4
夗,yuan4
卯,mao3
夙,su4
多,duo1
夜,ye4
够,gou4
梦,meng4
夤,yin2
伙,huo3
夥,huo3
大,da4
大,dai4
天,tian1
太,tai4
夫,fu1
夫,fu2
夬,guai4
夭,yao1
央,yang1
夯,ben4
夯,hang1
失,shi1
夷,yi2
夸,kua1
夼,kuang3
夹,jia1
夹,jia2
夹,jia4
奄,yan3
奄,yan1
奄,yan3
奇,ji1
奇,qi2
奈,nai4
奉,feng4
奎,kui2
奏,zou4
奂,huan4
奂,huan4
契,qi4
奓,chi3
奓,she1
奓,zha4
奔,ben1
奔,ben4
奕,yi4
套,tao4
奘,zang4
奘,zhuang3
奚,xi1
奚,xi1
奠,dian4
奢,she1
奥,ao4
奥,ao4
奁,lian2
夺,duo2
奭,shi4
奭,shi4
奋,fen4
女,nv3
女,ru3
奴,nu2
奶,nai3
奸,jian1
她,ta1
姹,cha4
好,hao3
好,hao4
妁,shuo4
妁,shuo4
如,ru2
妃,fei1
妄,wang4
妊,ren4
妍,yan2
妒,du4
妓,ji4
妖,yao1
妗,jin4
妙,miao4
妆,zhuang1
妞,niu1
妣,bi3
妤,yu2
妥,tuo3
妨,fang2
妒,du4
妮,ni1
妯,zhou2
妲,da2
你,ni3
奶,nai3
侄,zhi2
妹,mei4
妻,qi1
妻,qi4
妾,qie4
姆,mu3
姊,zi3
姊,zi3
始,shi3
姗,shan1
姐,jie3
姑,gu1
姒,si4
姒,si4
姓,xing4
委,wei3
委,wei1
委,wei3
姘,pin1
妊,ren4
姚,yao2
姚,yao2
姜,jiang1
姜,jiang1
姝,shu1
姣,jiao1
姣,jiao1
姥,lao3
姥,mu3
奸,jian1
姨,yi2
侄,zhi2
姫,ji1
姬,ji1
姬,ji1
姮,heng2
姻,yin1
姿,zi1
威,wei1
娃,wa2
娉,ping1
娌,li3
娑,suo1
娓,wei3
娘,niang2
娱,yu2
娜,na4
娜,nuo2
娟,juan1
娠,shen1
娣,di4
娥,e2
娩,mian3
娩,wan3
娭,ai1
娶,qu3
娼,chang1
婀,e1
婀,e1
娄,lou2
婆,po2
婉,wan3
婊,biao3
婕,jie2
婚,hun1
婢,bi4
姻,yin1
妇,fu4
婧,jing4
婪,lan2
娅,ya4
婷,ting2
婺,wu4
婿,xu4
妇,fu4
媒,mei2
媕,an1
媚,mei4
媛,yuan2
媛,yuan4
媠,duo4
媠,tuo2
娲,wa1
妫,gui1
媲,pi4
媳,xi2
媵,ying4
媸,chi1
媪,ao3
妈,ma1
媾,gou4
愧,kui4
嫁,jia4
嫂,sao3
嫉,ji2
袅,niao3
嫌,xian2
嫖,piao2
妪,yu4
嫘,lei2
嫚,man4
嫚,man4
嫜,zhang1
嫠,li2
嫡,di2
嫣,yan1
嫦,chang2
嫩,nen4
嫪,lao4
嫪,lao4
嫫,mo2
嫩,nen4
妩,wu3
娴,xian2
娴,xian2
妫,gui1
娆,rao2
嬉,xi1
婵,chan2
娇,jiao1
嬖,bi4
嬗,shan4
嫱,qiang2
嬛,huan2
嬛,qiong2
嬛,xuan1
袅,niao3
嫒,ai4
嬷,mo2
嫔,pin2
奶,nai3
婴,ying1
嬲,niao3
嬴,ying2
嬴,ying2
婶,shen3
懒,lan3
孀,shuang1
娘,niang2
娈,luan2
子,zi3
子,zi
孑,jie2
孓,jue2
孔,kong3
孔,kong3
孕,yun4
字,zi4
存,cun2
孚,fu2
孛,bei4
孜,zi1
孝,xiao4
孟,meng4
孟,meng4
孢,bao1
季,ji4
季,ji4
孤,gu1
孥,nu2
孨,zhuan3
孩,hai2
孙,sun1
孙,sun1
孬,nao1
孰,shu2
孱,can4
孱,chan2
孳,zi1
孵,fu1
学,xue2
孺,ru2
孺,ru2
孽,nie4
孽,nie4
孪,luan2
宀,mian2
冗,rong3
它,ta1
宄,gui3
宅,zhai2
宇,yu3
守,shou3
安,an1
安,an1
宋,song4
完,wan2
宏,hong2
宓,mi4
宓,mi4
宕,dang4
宗,zong1
宗,zong1
官,guan1
