hanzi,pinyin
官,guan1
宙,zhou4
定,ding4
宛,wan3
宛,wan3
宜,yi2
宜,yi2
客,ke4
宣,xuan1
宣,xuan1
室,shi4
室,shi4
宥,you4
宦,huan4
宦,huan4
宫,gong1
宫,gong1
宰,zai3
害,hai4
宴,yan4
宵,xiao1
家,jia1
宸,chen2
容,rong2
容,rong2
寇,kou4
宿,su4
宿,su4
宿,xiu3
宿,xiu4
寂,ji4
冤,yuan1
寄,ji4
寅,yin2
密,mi4
密,mi4
寇,kou4
富,fu4
富,fu4
寐,mei4
寝,qin3
寒,han2
寓,yu4
宁,ning4
寞,mo4
察,cha2
察,cha2
寡,gua3
寝,qin3
寤,wu4
寥,liao2
实,shi2
宁,ning2
宁,ning2
宁,ning4
寨,zhai4
审,shen3
写,xie3
宽,kuan1
宽,kuan1
寮,liao2
寮,liao2
寰,huan2
宝,bao3
宠,chong3
宝,bao3
寸,cun4
寺,si4
封,feng1
封,feng1
尃,fu1
射,she4
克,ke4
将,jiang1
将,jiang4
将,qiang1
专,zhuan1
尉,wei4
尉,wei4
尉,yu4
尊,zun1
寻,xun2
尌,shu4
对,dui4
导,dao3
小,xiao3
少,shao3
少,shao4
尔,er3
尕,ga3
尖,jian1
尗,shu1
尙,shang4
尚,shang4
尚,shang4
尜,ga2
鲜,xian3
鲜,xian3
尢,wang1
尤,you2
尤,you2
尥,liao4
尨,pang2
尨,mang2
尨,pang2
尬,ga4
就,jiu4
尴,gan1
尸,shi1
尹,yin3
尹,yin3
尺,che3
尺,chi3
尻,kao1
尼,ni2
尾,wei3
尾,yi3
尿,niao4
尿,sui1
局,ju2
屁,pi4
屄,bi1
居,ju1
居,ji1
居,ju1
届,jie4
屈,qu1
屈,qu1
屋,wu1
屌,diao3
尸,shi1
屎,shi3
屏,bing1
屏,bing3
屏,ping2
屐,ji1
屑,xie4
屃,xi4
展,zhan3
展,zhan3
屙,e1
屉,ti4
屠,tu2
屠,tu2
屡,lv3
屣,xi3
层,ceng2
履,lv3
屦,ju4
属,shu3
属,zhu3
屃,xi4
屮,che4
屯,tun2
屯,zhun1
山,shan1
山,shan1
屹,yi4
屺,qi3
屾,shen1
坂,ban3
岈,ya2
岌,ji2
岍,qian1
岐,qi2
岐,qi2
岑,cen2
岑,cen2
岔,cha4
岜,ba1
冈,gang1
岢,ke3
岣,gou3
岩,yan2
岫,xiu4
岬,jia3
岭,ling2
岱,dai4
岳,yue4
岳,yue4
岵,hu4
岷,min2
岸,an4
峁,mao3
峇,ba1
峇,ke1
峇,ke4
峋,xun2
峒,dong4
峒,tong2
峙,shi4
峙,zhi4
峒,tong2
峨,e2
峨,e2
峪,yu4
峭,qiao4
峰,feng1
峰,feng1
岘,xian4
岛,dao3
峻,jun4
峡,xia2
崆,kong1
崇,chong2
崇,chong2
崃,lai2
崎,qi2
昆,kun1
昆,kun1
崒,cui4
崒,zu2
崔,cui1
崔,cui1
崖,ya2
岗,gang1
岗,gang3
仑,lun2
仑,lun2
崛,jue2
崞,guo1
峥,zheng1
崤,xiao2
崦,yan1
崧,song1
崩,beng1
岽,dong1
崮,gu4
崴,wai3
崴,wei1
崽,zai3
崾,yao3
嵇,ji1
嵊,sheng4
嵋,mei2
嵌,kan3
嵌,qian4
岚,lan2
岩,yan2
岁,sui4
嵛,yu2
嵞,tu2
嵩,song1
嵫,zi1
嵬,wei2
嵯,cuo2
嵴,ji2
嵝,lou3
嶂,zhang4
崭,chan2
崭,zhan3
崭,chan2
崭,zhan3
岖,qu1
崂,lao2
嶙,lin2
嶝,deng4
峤,jiao4
嶡,gui4
嶡,jue2
峄,yi4
嶪,ye4
岙,ao4
嶷,yi2
嵘,rong2
岭,ling3
屿,yu3
岳,yue4
岳,yue4
巂,gui1
巂,xi1
岿,kui1
巍,wei1
峦,luan2
巅,dian1
岩,yan2
岩,yan2
巛,chuan1
川,chuan1
川,chuan1
州,zhou1
巠,jing1
巡,xun2
巢,chao2
巢,chao2
巤,lie4
工,gong1
左,zuo3
左,zuo3
巧,qiao3
巨,ju4
巫,wu1
巫,wu1
差,cha1
差,cha4
差,chai1
差,ci1
巯,qiu2
己,ji3
已,yi3
巳,si4
巴,ba1
巴,ba1
卮,zhi1
巷,xiang4
卺,jin3
巽,xun4
巾,jin1
巿,fu2
匝,za1
市,shi4
布,bu4
帆,fan1
纸,zhi3
希,xi1
帑,tang3
帔,pei4
帕,pa4
帖,tie1
帖,tie3
帖,tie4
帘,lian2
帙,zhi4
帙,zhi4
帚,zhou3
帛,bo2
帝,di4
帅,shuai4
帅,shuai4
师,shi1
师,shi1
裙,qun2
席,xi2
席,xi2
帐,zhang4
带,dai4
帷,wei2
常,chang2
常,chang2
帽,mao4
帧,zhen1
帏,wei2
幄,wo4
幅,fu2
帮,bang1
幌,huang3
徽,hui1
幔,man4
幕,mu4
帼,guo2
帻,ze2
幕,mu4
帮,bang1
幛,zhang4
幞,fu2
帜,zhi4
幡,fan1
幢,chuang2
幢,zhuang4
币,bi4
帮,bang1
帱,chou2
帱,dao4
干,gan1
干,gan1
平,ping2
平,ping2
年,nian2
年,nian2
并,bing1
幸,xing4
幸,xing4
干,gan4
幻,huan4
幼,you4
幽,you1
几,ji1
几,ji3
广,yan3
庀,pi3
庄,zhuang1
庇,bi4
床,chuang2
庋,gui3
序,xu4
底,de
底,di3
庖,pao2
店,dian4
庚,geng1
府,fu3
庠,xiang2
庥,xiu1
度,du4
度,duo2
座,zuo4
库,ku4
庭,ting2
庳,bi4
庵,an1
庶,shu4
康,kang1
康,kang1
庸,yong1
庹,tuo3
庶,shu4
寓,yu4
庾,yu3
厕,ce4
厕,si4
厢,xiang1
厩,jiu4
厦,xia4
厦,sha4
廉,lian2
廉,lian2
廊,lang2
廌,zhi4
厩,jiu4
廑,jin3
廑,qin2
廒,ao2
廓,kuo4
荫,yin4
廖,liao4
厨,chu2
廛,chan2
厮,si1
庙,miao4
厂,chang3
庑,wu2
庑,wu3
废,fei4
广,guang3
广,guang3
廥,kuai4
廨,xie4
廪,lin3
庐,lu2
厅,ting1
廴,yin3
巡,xun2
延,yan2
延,yan2
廷,ting2
迫,po4
建,jian4
乃,nai3
廾,gong3
廿,nian4
弁,bian4
弄,long4
弄,nong4
弇,yan3
弈,yi4
弊,bi4
弋,yi4
式,shi4
弑,shi4
弓,gong1
弓,gong1
吊,diao4
引,yin3
弗,fu2
弘,hong2
弛,chi2
弟,di4
弟,ti4
弦,xian2
弧,hu2
弩,nu3
弭,mi3
弮,juan4
弮,quan1
弱,ruo4
弪,jing4
张,zhang1
张,zhang1
强,qiang2
强,jiang4
强,qiang2
强,qiang3
弼,bi4
彀,gou4
别,bie4
弹,dan4
弹,tan2
强,jiang4
强,qiang2
强,qiang3
弥,mi2
弯,wan1
彐,ji4
彑,ji4
录,lu4
彖,tuan4
彗,hui4
彘,zhi4
汇,hui4
彝,yi2
彟,huo4
彡,shan1
形,xing2
彤,tong2
彤,tong2
彦,yan4
彧,yu4
彩,cai3
彪,biao1
雕,diao1
彬,bin1
彭,peng2
彰,zhang1
影,ying3
彳,chi4
仿,fang3
彷,pang2
彸,zhong1
役,yi4
彼,bi3
佛,fu2
往,wang3
征,zheng1
徂,cu2
往,wang3
待,dai1
待,dai4
徇,xun4
很,hen3
徉,yang2
徊,huai2
律,lv4
律,lv4
后,hou4
徐,xu2
徐,xu2
径,jing4
徒,tu2
徒,tu2
得,de2
得,de
得,dei3
徘,pai2
徙,xi3
徜,chang2
从,cong2
从,cong2
徕,lai2
御,yu4
遍,bian4
徨,huang2
复,fu4
循,xun2
徭,yao2
微,wei1
微,wei1
徯,xi1
徴,zheng1
征,zheng1
徵,zhi3
德,de2
德,de2
彻,che4
徼,jiao3
徼,jiao4
徽,hui1
心,xin1
忄,xin1
必,bi4
忉,dao1
忌,ji4
忍,ren3
忐,tan3
忑,te4
忒,te4
忒,te4
忕,shi4
忕,tai4
忖,cun3
志,zhi4
忘,wang4
忙,mang2
忝,tian3
忞,min2
忞,min3
忞,wen3
忠,zhong1
忡,chong1
忤,wu3
忪,song1
忪,zhong1
快,kuai4
忭,bian4
忮,zhi4
忱,chen2
念,nian4
忸,niu3
忻,xin1
忽,hu1
忽,hu1
忿,fen4
怊,chao1
怍,zuo4
怎,zen3
怏,yang4
怒,nu4
怔,zheng1
怔,zheng4
怕,pa4
怕,pa4
怖,bu4
怙,hu4
怛,da2
思,si1
怠,dai4
怡,yi2
急,ji2
怦,peng1
性,xing4
怨,yuan4
怩,ni2
怪,guai4
怫,fei4
怫,fu2
怯,qie4
匆,cong1
恍,huang3
怵,chu4
恁,nen4
恁,nin2
恂,xun2
恃,shi4
恒,heng2
恒,heng2
恍,huang3
恐,kong3
恒,heng2
恓,xi1
恕,shu4
恙,yang4
恚,hui4
恝,jia2
怪,guai4
吝,lin4
恢,hui1
恣,zi4
恤,xu4
耻,chi3
恧,nv4
恨,hen4
恩,en1
恪,ke4
恪,ke4
恫,dong4
恬,tian2
恭,gong1
息,xi1
恰,qia4
恿,yong3
悃,kun3
悄,qiao1
悄,qiao3
悦,yue4
悉,xi1
悌,ti4
悍,han4
悒,yi4
悔,hui3
悖,bei4
悚,song3
悛,quan1
悝,kui1
悝,li3
悟,wu4
悠,you1
患,huan4
匆,cong1
悧,li4
您,nin2
悱,fei3
悲,bei1
德,de2
悴,cui4
怅,chang4
闷,men1
闷,men4
悸,ji4
悻,xing4
悼,dao4
凄,qi1
情,qing2
惆,chou2
惋,wan3
婪,lan2
惑,huo4
惓,quan2
惕,ti4
惘,wang3
惙,chuo4
惚,hu1
惛,hun1
惜,xi1
惝,chang3
惟,wei2
惠,hui4
惠,hui4
恶,e3
恶,e4
恶,wu4
恿,yong3
惦,dian4
德,de2
惰,duo4
恼,nao3
恽,yun4
想,xiang3
惴,zhui4
惶,huang2
蠢,chun3
惹,re3
惺,xing1
恻,ce4
愀,qiao3
愁,chou2
愆,qian1
愈,yu4
愉,yu2
愍,min3
愎,bi4
意,yi4
意,yi4
愕,e4
恪,ke4
愚,yu2
爱,ai4
惬,qie4
感,gan3
愣,leng4
愧,kui4
悫,que4
愫,su4
诉,su4
怆,chuang4
恺,kai3
博,bo2
忾,kai4
愿,yuan4
恿,yong3
栗,li4
慈,ci2
慊,qian4
慊,qie4
态,tai4
慌,huang1
愠,yun4
慎,shen4
慕,mu4
惨,can3
惭,can2
惭,can2
慝,te4
恸,tong4
慢,man4
惯,guan4
悫,que4
慧,hui4
慨,kai3
怄,ou4
怂,song2
怂,song3
虑,lv4
慰,wei4
悭,qian1
慑,she4
慵,yong1
庆,qing4
慷,kang1
戚,qi1
戚,qi1
欲,yu4
忧,you1
憩,qi4
惫,bei4
憋,bie1
憎,zeng1
怜,lian2
凭,ping2
愦,kui4
憔,qiao2
惮,dan4
憝,dui4
愤,fen4
憧,chong1
憨,han1
憩,qi4
悯,min3
憬,jing3
怃,wu3
宪,xian4
忆,yi4
憷,chu4
憾,han4
懂,dong3
勤,qin2
恳,ken3
懈,xie4
应,ying1
应,ying1
应,ying4
懊,ao4
懋,mao4
怿,yi4
懔,lin3
懞,meng2
怼,dui3
怼,dui4
懑,men4
懦,nuo4
恹,yan1
懮,you3
惩,cheng2
懵,meng3
懒,lan3
怀,huai2
怀,huai2
悬,xuan2
忏,chan4
惧,ju4
欢,huan1
慑,she4
懿,yi4
恋,lian4
戆,gang4
戆,zhuang4
戈,ge1
戈,ge1
戉,yue4
戊,wu4
戌,qu
戌,xu1
戍,shu4
戎,rong2
戎,rong2
成,cheng2
成,cheng2
我,wo3
戒,jie4
戋,jian1
戕,qiang1
或,huo4
戚,qi1
戚,qi1
戛,jia2
戛,jia2
戟,ji3
戠,zhi2
戡,kan1
戢,ji2
戢,ji2
戤,gai4
戥,deng3
戗,qiang1
戬,jian3
截,jie2
戮,lu4
戏,xi4
战,zhan4
戏,xi4
戳,chuo1
戴,dai4
戴,dai4
户,hu4
厄,e4
卯,mao3
戽,hu4
戾,li4
房,fang2
房,fang2
所,suo3
扁,pian1
扁,bian3
扁,pian1
扂,dian4
扃,jiong1
扆,yi3
扆,yi3
扇,shan1
扇,shan4
扈,hu4
扈,hu4
扉,fei1
手,shou3
扌,shou3
才,cai2
扎,zha1
扎,zha2
扒,ba1
扒,pa2
打,da2
打,da3
扔,reng1
払,fan3
払,fu2
托,tuo1
扛,gang1
扛,kang2
捍,han4
扢,gu3
扢,xi4
扣,kou4
扦,qian1
扭,niu3
扮,ban4
扯,che3
扳,ban1
扳,pan1
扶,fu2
批,pi1
扼,e4
找,zhao3
承,cheng2
承,cheng2
技,ji4
抃,bian4
抄,chao1
抉,jue2
把,ba3
把,ba4
抑,yi4
抒,shu1
抓,zhua1
投,tou2
抖,dou3
抗,kang4
折,she2
折,zhe1
折,zhe2
拗,ao4
抨,peng1
披,pi1
抬,tai2
抱,bao4
抵,di3
抹,ma1
抹,mo3
抹,mo4
抻,chen1
押,ya1
抽,chou1
抿,min3
拂,bi4
拂,fu2
拄,zhu3
拆,chai1
拇,mu3
拈,nian1
拉,la1
拊,fu3
抛,pao1
拌,ban4
拍,pai1
拎,lin1
拿,na2
拐,guai3
拑,qian2
拒,ju4
拓,tuo4
拓,ta4
拓,tuo4
拔,ba2
拖,tuo1
拖,tuo1
拗,ao4
拗,niu4
拘,ju1
拙,zhuo1
拚,pan4
拚,pin1
招,zhao1
拜,bai4
括,kuo4
拭,shi4
拮,jie2
拯,zheng3
拱,gong3
拳,quan2
拴,shuan1
拶,za1
拶,zan3
拷,kao3
拼,pin1
拽,ye4
拽,zhuai1
拽,zhuai3
拽,zhuai4
拾,she4
拾,shi2
拿,na2
持,chi2
指,zhi3
挈,qie4
按,an4
挎,kua4
挑,tiao1
挑,tiao3
挖,wa1
挨,ai1
挨,ai2
挪,nuo2
挫,cuo4
振,zhen4
挲,suo1
挲,suo1
弄,nong4
挹,yi4
挺,ting3
挽,wan3
挟,jia1
挟,xie2
捂,wu3
捃,jun4
救,jiu4
捅,tong3
捆,kun3
捉,zhuo1
捋,lv3
捋,luo1
捌,ba1
捍,han4
捎,shao1
捏,nie1
捐,juan1
捕,bu3
捧,peng3
舍,she3
捩,lie4
扪,men2
捭,bai3
捭,bo4
据,ju1
据,ju4
捱,ai2
卷,juan3
捶,chui2
捷,jie2
捷,jie2
捺,na4
捻,nian3
掀,xian1
掂,dian1
扫,sao3
扫,sao4
抡,lun1
抡,lun2
掇,duo1
授,shou4
掉,diao4
掊,pou2
掊,pou3
掌,zhang3
掎,ji3
掏,tao1
掐,qia1
排,pai2
掖,ye1
掖,ye4
掘,jue2
挣,zheng1
挣,zheng4
挂,gua4
掠,lve4
采,cai3
探,tan4
掣,che4
接,jie1
控,kong4
推,tui1
掩,yan3
措,cuo4
掬,ju1
掭,tian4
掮,qian2
掰,bai1
掱,pa2
掱,shou3
碰,peng4
掾,yuan4
拣,jian3
揄,yu2
揆,kui2
揉,rou2
揍,zou4
揎,xuan1
描,miao2
提,di1
提,ti2
捏,nie1
插,cha1
揖,yi1
扬,yang2
扬,yang2
换,huan4
揞,an3
揠,ya4
握,wo4
揣,chuai1
揣,chuai3
揩,kai1
揪,jiu1
揭,jie1
揭,jie1
挥,hui1
揲,she2
援,yuan2
揶,ye2
插,cha1
揸,zha1
背,bei1
构,gou4
揿,qin4
搋,chuai1
搌,zhan3
损,sun3
搏,bo2
搐,chu4
搓,cuo1
搔,sao1
摇,yao2
摇,yao2
捣,dao3
搛,jian1
搜,sou1
搞,gao3
搠,shuo4
搡,sang3
扼,e4
捶,chui2
搦,nuo4
搪,tang2
搬,ban1
搭,da1
掏,tao1
搴,qian1
抢,qiang1
抢,qiang3
搽,cha2
榨,zha4
搿,ge2
摀,wu3
摁,en4
扛,gang1
掴,guai1
摒,bing4
摔,shuai1
摘,zhai1
掼,guan4
摞,luo4
搂,lou1
搂,lou3
摧,cui1
摩,mo2
摭,zhi2
挚,zhi4
挚,zhi4
抠,kou1
抟,tuan2
摸,mo1
摸,mo2
摹,mo2
折,zhe2
摺,zhe2
掺,chan1
掺,shan3
摽,biao1
摽,biao4
撂,liao4
撅,jue1
撇,pie1
撇,pie3
捞,lao1
撑,cheng1
撒,sa1
撒,sa3
挠,nao2
撕,si1
撖,han4
撙,zun3
撞,zhuang4
挢,jiao3
操,cao1
掸,dan3
撤,che4
拨,bo1
扯,che3
撩,liao1
撩,liao2
抚,fu3
撬,qiao4
播,bo1
撮,cuo1
撮,zuo3
撰,zhuan4
扑,pu1
揿,qin4
挞,ta4
撼,han4
挝,wo1
挝,zhua1
捡,jian3
擀,gan3
拥,yong1
擂,lei2
擂,lei4
掳,lu3
擅,shan4
择,ze2
击,ji1
挡,dang3
挡,dang4
操,cao1
操,cao4
擎,qing2
擐,huan4
擒,qin2
担,dan1
担,dan4
携,xie2
擗,pi3
擘,bo4
据,ju4
挤,ji3
抬,tai2
擢,zhuo2
擤,xing3
擦,ca1
举,ju3
拟,ni3
摈,bin4
拧,ning2
拧,ning3
拧,ning4
搁,ge1
搁,ge2
掷,zhi4
扩,kuo4
撷,xie2
摆,bai3
擞,sou3
撸,lu1
扰,rao3
擿,ti1
擿,zhi4
攀,pan1
摅,shu1
撵,nian3
攉,huo1
拢,long3
拦,lan2
撄,ying1
攘,rang3
搀,chan1
撺,cuan1
携,xie2
摄,she4
攒,cuan2
攒,zan3
挛,luan2
摊,tan1
攥,zuan4
挡,dang3
搅,jiao3
攫,jue2
揽,lan3
攮,nang3
支,zhi1
支,zhi1
攴,pu1
攵,pu1
收,shou1
考,kao3
攸,you1
改,gai3
攻,gong1
放,fang4
政,zheng4
叩,kou4
敃,min3
故,gu4
效,xiao4
敉,mi3
叙,xu4
敏,min3
救,jiu4
敕,chi4
敖,ao2
敖,ao2
败,bai4
叙,xu4
叙,xu4
教,jiao4
教,jiao1
教,jiao4
敝,bi4
敞,chang3
敢,gan3
散,san3
散,san4
敦,dun1
敪,duo2
敫,jiao3
敫,jiao3
敬,jing4
扬,yang2
敲,qiao1
整,zheng3
敌,di2
敷,fu1
数,shu3
数,shu4
数,shuo4
驱,qu1
敻,xiong4
敛,lian3
敛,lian4
毙,bi4
文,wen2
文,wen2
斌,bin1
斐,fei3
斑,ban1
斓,lan2
斗,dou3
斗,dou3
料,liao4
斛,hu2
斜,xie2
斟,zhen1
斡,wo4
斤,jin1
斥,chi4
斧,fu3
斫,zhuo2
斩,zhan3
斯,si1
斯,si1
新,xin1
新,xin1
斫,zhuo2
斫,zhuo2
断,duan4
方,fang1
方,fang1
于,yu2
於,yu1
於,wu1
施,shi1
施,shi1
斿,you2
旁,pang2
旗,qi2
旃,zhan1
旄,mao2
旄,mao4
旅,lv3
旆,pei4
旋,xuan2
旋,xuan4
旌,jing1
旎,ni3
族,zu2
旒,liu2
旖,yi3
旗,qi2
旡,ji4
既,ji4
祸,huo4
日,ri4
日,ri4
旦,dan4
旨,zhi3
早,zao3
旬,xun2
旭,xu4
旮,ga1
旯,la2
旰,gan4
旱,han4
时,shi2
旺,wang4
春,chun1
昀,yun2
昂,ang2
昃,ze4
昆,kun1
升,sheng1
昇,sheng1
昉,fang3
昊,hao4
昊,hao4
昌,chang1
昌,chang1
明,ming2
明,ming2
昏,hun1
易,yi4
易,yi4
昔,xi1
昔,xi1
昕,xin1
慎,shen4
昜,yang2
昝,zan3
星,xing1
映,ying4
春,chun1
春,chun1
昧,mei4
昨,zuo2
昫,xu4
昏,hun1
昭,zhao1
是,shi4
是,shi4
昱,yu4
昴,mao3
昵,ni4
昶,chang3
晁,chao2
时,shi2
时,shi2
晃,huang3
晃,huang4
晋,jin4
晋,jin4
晌,shang3
晏,yan4
晏,yan4
晒,shai4
晗,han2
晚,wan3
昼,zhou4
晟,cheng2
晟,sheng4
晡,bu1
晤,wu4
晦,hui4
晨,chen2
晬,zui4
普,pu3
景,jing3
景,jing3
晰,xi1
晴,qing2
晶,jing1
晷,gui3
智,zhi4
暗,an4
晾,liang4
暄,xuan1
暆,yi2
暇,xia2
晕,yun1
晕,yun4
晖,hui1
暋,min2
暋,min3
暌,kui2
映,ying4
暑,shu3
暖,nuan3
暗,an4
暝,ming2
暠,gao3
皓,hao4
暡,weng3
畅,chang4
暨,ji4
暂,zan4
暮,mu4
昵,ni4
暴,bao4
暴,bao4
暹,xian1
暾,tun1
晔,ye4
历,li4
昙,tan2
晓,xiao3
向,xiang4
暧,ai4
曙,shu3
曚,meng2
曛,xun1
曜,yao4
曝,pu4
旷,kuang4
叠,die2
曦,xi1
曩,nang3
晒,shai4
曰,yue1
曱,yue1
曲,qu1
曲,qu1
曲,qu3
曳,ye4
更,geng1
更,geng4
曷,he2
书,shu1
书,shu1
曹,cao2
曹,cao2
曼,man4
曾,zeng1
曾,ceng2
曾,zeng1
替,ti4
最,zui4
朁,can3
会,hui4
会,kuai4
月,yue4
有,you3
朊,ruan3
朋,peng2
服,fu2
服,fu4
朐,qu2
朔,shuo4
朕,zhen4
朗,lang3
望,wang4
朝,chao2
朝,chao2
朝,zhao1
期,qi1
期,qi1
望,wang4
朦,meng2
胧,long2
木,mu4
木,mu4
未,wei4
末,mo4
本,ben3
札,zha2
朮,shu4
朮,zhu2
朱,zhu1
朱,zhu1
朴,piao2
朴,po1
朴,po4
朵,duo3
朵,duo3
朽,xiu3
朿,ci4
杆,gan1
杈,cha1
杈,cha4
杉,shan1
杌,wu4
李,li3
李,li3
杏,xing4
材,cai2
村,cun1
杓,biao1
杓,shao2
杖,zhang4
杜,du4
杜,du4
杞,qi3
杞,qi3
束,shu4
束,shu4
杠,gang1
杠,gang4
杪,miao3
杭,hang2
杯,bei1
杰,jie2
东,dong1
东,dong1
杲,gao3
杳,yao3
杵,chu3
杷,ba4
杷,pa2
杼,zhu4
松,song1
松,song1
板,ban3
枇,pi2
枉,wang3
枋,fang1
楠,nan2
析,xi1
枒,ya2
枓,dou3
枕,zhen3
林,lin2
林,lin2
枘,rui4
枚,mei2
枚,mei2
果,guo3
枝,zhi1
枯,ku1
枰,ping2
枳,zhi3
拐,guai3
枵,xiao1
架,jia4
枷,jia1
枸,gou1
枸,gou3
枸,ju3
柁,tuo2
柃,ling2
柄,bing3
柊,zhong1
柏,bai3
柏,bai3
柏,bo2
柏,bo4
某,mou3
柑,gan1
柒,qi1
染,ran3
柔,rou2
柘,zhe4
柙,xia2
柚,you4
柜,gui4
柜,ju3
柝,tuo4
柞,zuo4
楠,nan2
柢,di3
查,zha1
查,cha2
查,zha1
柩,jiu4
柬,jian3
柬,jian3
柯,ke1
柯,ke1
柰,nai4
柱,zhu4
柳,liu3
柳,liu3
柴,chai2
柴,chai2
栅,zha4
柿,shi4
拐,guai3
柿,shi4
柳,liu3
栓,shuan1
栗,li4
栗,li4
栝,gua1
刊,kan1
校,jiao4
校,xiao4
柏,bai3
栩,xu3
株,zhu1
筏,fa2
栱,gong3
栲,kao3
栳,lao3
栴,zhan1
核,he2
根,gen1
格,ge2
栽,zai1
桀,jie2
桁,hang2
桁,heng2
桂,gui4
桂,gui4
桃,tao2
桄,guang1
桄,guang4
桅,wei2
框,kuang4
案,an4
桉,an1
桌,zhuo1
桎,zhi4
桐,tong2
桑,sang1
桑,sang1
桑,sang1
桓,huan2
桓,huan2
桔,jie2
桔,ju2
桕,jiu4
桫,suo1
杯,bei1
桲,bo2
桲,po
桴,fu2
桶,tong3
桷,jue2
柳,liu3
杆,gan3
梁,liang2
梁,liang2
梃,ting3
梅,mei2
梅,mei2
梆,bang1
梏,gu4
梓,zi3
栀,zhi1
梗,geng3
枧,jian3
条,tiao2
枭,xiao1
梢,shao1
梣,chen2
梧,wu2
梨,li2
梭,suo1
梯,ti1
械,xie4
梳,shu1
梵,fan4
弃,qi4
棉,mian2
棋,qi2
棋,qi2
棍,gun4
棒,bang4
棕,zong1
枨,cheng2
枣,zao3
棘,ji2
棚,peng2
栋,dong4
棠,tang2
棣,di4
栈,zhan4
森,sen1
森,sen1
棰,chui2
棱,leng2
栖,qi1
棵,ke1
梾,lai2
棹,zhuo1
棺,guan1
棻,fen1
棼,fen2
碗,wan3
椅,yi3
椆,chou2
乘,cheng2
椋,liang2
植,zhi2
椎,chui2
椎,zhui1
桠,ya1
椐,ju1
椒,jiao1
碇,ding4
椥,zhi1
椪,peng4
椰,ye1
椴,duan4
棕,zong1
缄,jian1
椹,shen4
椽,chuan2
笺,jian1
椿,chun1
楂,cha2
楂,zha1
匾,pian2
杨,yang2
杨,yang2
枫,feng1
楔,xie1
楗,jian4
楙,mao4
楚,chu3
楚,chu3
楛,hu4
楛,ku3
楝,lian4
楞,leng2
楞,leng4
楠,nan2
楣,mei2
楦,xuan4
楦,xuan4
桢,zhen1
楫,ji2
业,ye4
业,ye4
楮,chu3
梅,mei2
极,ji2
楷,jie1
楷,kai3
楸,qiu1
楹,ying2
榀,pin3
概,gai4
榆,yu2
榔,lang2
榕,rong2
榕,rong2
矩,ju3
榛,zhen1
搒,bang4
搒,peng4
榜,bang3
榧,fei3
榨,zha4
杩,ma4
榫,sun3
榭,xie4
荣,rong2
荣,rong2
榱,cui1
榅,wen1
榴,liu2
榷,que4
榻,ta4
桤,qi1
槁,gao3
槁,gao3
槃,pan2
槊,shuo4
构,gou4
槌,chui2
枪,qiang1
枪,qiang1
槎,cha2
槐,huai2
梅,mei2
杠,gang4
槔,gao1
桌,zhuo1
槜,zui4
梿,lian2
椠,qian4
椁,guo3
概,gai4
槭,qi4
槲,hu2
桨,jiang3
槺,kang1
规,gui1
槽,cao2
槿,jin3
桩,zhuang1
乐,le4
乐,yue4
乐,le4
乐,yue4
枞,cong1
枞,zong1
樆,chi1
樆,li2
樊,fan2
樊,fan2
橹,lu3
梁,liang2
楼,lou2
楼,lou2
樗,chu1
樘,cheng3
樘,tang2
标,biao1
樛,jiu1
樛,jiu1
枢,shu1
樟,zhang1
模,mo2
模,mu2
样,yang4
樨,xi1
樵,qiao2
朴,pu3
树,shu4
桦,hua4
樽,zun1
樾,yue4
橄,gan3
橇,qiao1
桡,rao2
桥,qiao2
橐,tuo2
橘,ju2
橙,cheng2
橛,jue2
橛,jue2
机,ji1
机,ji1
橡,xiang4
椭,tuo3
蕊,rui3
横,heng2
横,heng4
橾,qiao1
橾,shu1
檀,tan2
檀,tan2
檩,lin3
檃,yin3
檄,xi2
柽,cheng1
檎,qin2
檐,yan2
檑,lei2
档,dang3
档,dang4
檗,bo4
桧,hui4
桧,gui4
楫,ji2
檠,qing2
检,jian3
樯,qiang2
檫,cha2
檬,meng2
梼,tao2
台,tai2
槟,bing1
檵,ji4
檵,qi3
柠,ning2
槛,jian4
槛,kan3
棹,zhao4
柜,gui4
櫆,kui2
凳,deng4
橹,lu3
榈,lv2
栉,zhi4
椟,du2
橼,yuan2
栎,li4
橱,chu2
槠,zhu1
栌,lu2
枥,li4
橥,zhu1
榇,chen4
蘖,nie4
栊,long2
榉,ju3
棂,ling2
樱,ying1
栏,lan2
权,quan2
权,quan2
椤,luo2
栾,luan2
栾,luan2
榄,lan3
郁,yu4
棂,ling2
欠,qian4
次,ci4
欣,xin1
欲,yu4
欶,shuo4
欷,xi1
欸,ai1
欸,ai3
欸,ei1
欸,ei2
欸,ei3
欸,ei4
欹,yi1
欺,qi1
欻,chua1
欻,xu1
钦,qin1
钦,qin1
款,kuan3
欿,kan3
歃,sha4
歆,xin1
歇,xie1
歉,qian4
歌,ge1
叹,tan4
欧,ou1
欧,ou1
歔,xu1
歙,she4
歛,han1
歛,lian3
欤,yu2
欢,huan1
止,zhi3
正,zheng1
正,zheng4
此,ci3
步,bu4
步,bu4
武,wu3
武,wu3
歧,qi2
歨,bu4
歪,wai1
歪,wai3
歰,se4
岁,sui4
历,li4
历,li4
归,gui1
归,gui1
歹,dai3
歺,can1
歺,dai3
死,si3
殁,mo4
