id,name,latin,tone
655,gōu,gou,1
656,gǒu,gou,3
657,gòu,gou,4
658,gū,gu,1
659,gǔ,gu,3
660,gù,gu,4
661,guā,gua,1
662,guǎ,gua,3
663,guà,gua,4
664,guāi,guai,1
665,guǎi,guai,3
666,guài,guai,4
667,guān,guan,1
668,guǎn,guan,3
669,guàn,guan,4
670,guāng,guang,1
671,guǎng,guang,3
672,guàng,guang,4
673,guī,gui,1
674,guǐ,gui,3
675,guì,gui,4
676,gǔn,gun,3
677,gùn,gun,4
678,guō,guo,1
679,guó,guo,2
680,guǒ,guo,3
681,guò,guo,4
682,guo,guo,
683,kā,ka,1
684,kǎ,ka,3
685,kāi,kai,1
686,kǎi,kai,3
687,kài,kai,4
688,kān,kan,1
689,kǎn,kan,3
690,kàn,kan,4
691,kāng,kang,1
692,káng,kang,2
693,kàng,kang,4
694,kāo,kao,1
695,kǎo,kao,3
696,kào,kao,4
697,kē,ke,1
698,ké,ke,2
699,kě,ke,3
700,kè,ke,4
701,kěn,ken,3
702,kèn,ken,4
703,kēng,keng,1
704,kōng,kong,1
705,kǒng,kong,3
706,kòng,kong,4
707,kōu,kou,1
708,kǒu,kou,3
709,kòu,kou,4
710,kū,ku,1
711,kǔ,ku,3
712,kù,ku,4
713,kuā,kua,1
714,kuǎ,kua,3
715,kuà,kua,4
716,kuǎi,kuai,3
717,kuài,kuai,4
718,kuān,kuan,1
719,kuǎn,kuan,3
720,kuāng,kuang,1
721,kuáng,kuang,2
722,kuǎng,kuang,3
723,kuàng,kuang,4
724,kuī,kui,1
725,kuí,kui,2
726,kuǐ,kui,3
727,kuì,kui,4
728,kūn,kun,1
729,kǔn,kun,3
730,kùn,kun,4
731,kuò,kuo,4
732,hā,ha,1
733,há,ha,2
734,hǎ,ha,3
735,hāi,hai,1
736,hái,hai,2
737,hǎi,hai,3
738,hài,hai,4
739,hān,han,1
740,hán,han,2
741,hǎn,han,3
742,hàn,han,4
743,hāng,hang,1
744,háng,hang,2
745,hàng,hang,4
746,hāo,hao,1
747,háo,hao,2
748,hǎo,hao,3
749,hào,hao,4
750,hē,he,1
751,hé,he,2
752,hè,he,4
753,hēi,hei,1
754,hén,hen,2
755,hěn,hen,3
756,hèn,hen,4
757,hēng,heng,1
758,héng,heng,2
759,hèng,heng,4
760,hōng,hong,1
761,hóng,hong,2
