id,form,meaning,type,etymology
9694,鷄,"variant of 雞|鸡[ji1]",pictophonetic,"bird"
9695,鹧,"partridge; Francolinus chinensis",pictophonetic,"bird"
9696,鸥,"common gull",pictophonetic,"bird"
9697,鸷,"fierce; brutal; bird of prey",pictophonetic,"bird"
9698,鹨,"pipit (genus Anthus)",pictophonetic,"bird"
9699,鸶,"heron",pictophonetic,"bird"
9700,鹪,"eastern wren",pictophonetic,"bird"
9701,鹔,"used in 鷫鸘|鹔鹴[su4 shuang1]",pictophonetic,"bird"
9702,鹩,"eastern wren",pictophonetic,"bird"
9703,燕,"variant of 燕[yan4]",ideographic,"A swallow, with its head 廿, wings 北, and tail 灬"
9704,鹫,"vulture",pictophonetic,"bird"
9705,鹇,"variant of 鷴|鹇[xian2]",pictophonetic,"bird"
9706,鹇,"silver pheasant (Phasianus nycthemerus); silver pheasant badge worn by civil officials of the 5th grade",pictophonetic,"bird"
9707,鹬,"common snipe; sandpiper",pictophonetic,"bird"
9708,鹰,"eagle; falcon; hawk",pictophonetic,"bird"
9709,鹭,"heron",pictophonetic,"bird"
9710,鹱,"(bound form) bird of the Procellariidae family, which includes shearwaters, gadfly petrels etc",pictophonetic,"bird"
9711,莺,"variant of 鶯|莺[ying1]",ideographic,"A bird 鸟 covered in 冖 green 艹 feathers"
9712,鸬,"used in 鸕鶿|鸬鹚[lu2 ci2]",pictophonetic,"bird"
9713,鹴,"used in 鷫鸘|鹔鹴[su4 shuang1]",pictophonetic,"bird"
9714,鹦,"used in 鸚鵡|鹦鹉[ying1wu3]",pictophonetic,"bird"
9715,鹳,"crane; stork",pictophonetic,"bird"
9716,鹂,"Chinese oriole",pictophonetic,"bird"
9717,鸾,"mythical bird related to phoenix",pictophonetic,"bird"
9718,卤,"alkaline soil; salt; brine; halogen (chemistry); crass; stupid",pictographic,"A container used to brine pickles"
9719,咸,"salted; salty; stingy; miserly",ideographic,"One 一 voice 口 surrounded by conflict 戈"
9720,鹾,"brine; salt",pictophonetic,"salt"
9721,碱,"variant of 鹼|碱[jian3]",pictophonetic,"mineral"
9722,碱,"(chemistry) base; alkali; soda",pictophonetic,"mineral"
9723,盐,"salt; CL:粒[li4]",,
9724,鹿,"deer",pictographic,"A deer with an antlered head, two legs, and a tail"
9725,麂,"muntjac",pictophonetic,"deer"
9726,麃,"to weed",ideographic,"Tracks 灬 left by a deer 鹿"
9727,麃,"(archaic) a type of deer",ideographic,"Tracks 灬 left by a deer 鹿"
9728,麇,"hornless deer",pictophonetic,"deer"
9729,麇,"(literary) in large numbers; thronging",pictophonetic,"deer"
9730,麈,"leader of herd; stag",pictophonetic,"deer"
9731,麋,"surname Mi",pictophonetic,"deer"
9732,麋,"moose; river bank",pictophonetic,"deer"
9733,麟,"variant of 麟[lin2]",pictophonetic,"deer"
9734,麒,"used in 麒麟[qi2 lin2]",pictophonetic,"deer"
9735,麓,"foot of a hill",pictophonetic,"forest"
9736,丽,"Korea",ideographic,"Simplified form of 麗; the antlers of a deer 鹿"
9737,丽,"beautiful",ideographic,"Simplified form of 麗; the antlers of a deer 鹿"
9738,麝,"musk deer (Moschus moschiferus); also called 香獐子",pictophonetic,"deer"
9739,獐,"variant of 獐[zhang1]",pictophonetic,"animal"
9740,麟,"used in 麒麟[qi2 lin2]",pictophonetic,"deer"
