sound,latin,tone
guì,gui,4
gui,gui,
gǔn,gun,3
gùn,gun,4
guō,guo,1
guó,guo,2
guǒ,guo,3
guò,guo,4
guo,guo,
kā,ka,1
kǎ,ka,3
kāi,kai,1
kǎi,kai,3
kài,kai,4
kai,kai,
kān,kan,1
kǎn,kan,3
kàn,kan,4
kan,kan,
kāng,kang,1
káng,kang,2
kàng,kang,4
kāo,kao,1
kǎo,kao,3
kào,kao,4
kē,ke,1
ké,ke,2
kě,ke,3
kè,ke,4
ke,ke,
kěn,ken,3
kèn,ken,4
kēng,keng,1
keng,keng,
kōng,kong,1
kǒng,kong,3
kòng,kong,4
kōu,kou,1
kǒu,kou,3
kòu,kou,4
kou,kou,
kū,ku,1
kǔ,ku,3
kù,ku,4
ku,ku,
kuā,kua,1
kuǎ,kua,3
kuà,kua,4
kuǎi,kuai,3
kuài,kuai,4
kuai,kuai,
kuān,kuan,1
kuǎn,kuan,3
kuāng,kuang,1
kuáng,kuang,2
kuǎng,kuang,3
kuàng,kuang,4
kuang,kuang,
kuī,kui,1
kuí,kui,2
kuǐ,kui,3
kuì,kui,4
kūn,kun,1
kǔn,kun,3
kùn,kun,4
kuò,kuo,4
hā,ha,1
há,ha,2
hǎ,ha,3
hà,ha,4
ha,ha,
hāi,hai,1
hái,hai,2
hǎi,hai,3
hài,hai,4
hai,hai,
hān,han,1
hán,han,2
hǎn,han,3
hàn,han,4
han,han,
hāng,hang,1
háng,hang,2
hàng,hang,4
hāo,hao,1
háo,hao,2
hǎo,hao,3
hào,hao,4
hao,hao,
hē,he,1
hé,he,2
hè,he,4
he,he,
hēi,hei,1
hén,hen,2
hěn,hen,3
hèn,hen,4
hēng,heng,1
héng,heng,2
hèng,heng,4
hōng,hong,1
hóng,hong,2
hǒng,hong,3
hòng,hong,4
hōu,hou,1
hóu,hou,2
hǒu,hou,3
hòu,hou,4
hou,hou,
hū,hu,1
hú,hu,2
hǔ,hu,3
hù,hu,4
hu,hu,
huā,hua,1
huá,hua,2
huà,hua,4
hua,hua,
huái,huai,2
huài,huai,4
huān,huan,1
huán,huan,2
huǎn,huan,3
huàn,huan,4
huan,huan,
huāng,huang,1
huáng,huang,2
huǎng,huang,3
huàng,huang,4
huang,huang,
huī,hui,1
huí,hui,2
huǐ,hui,3
huì,hui,4
hui,hui,
hūn,hun,1
hún,hun,2
hùn,hun,4
hun,hun,
huō,huo,1
huó,huo,2
huǒ,huo,3
huò,huo,4
huo,huo,
jī,ji,1
jí,ji,2
jǐ,ji,3
jì,ji,4
ji,ji,
jiā,jia,1
jiá,jia,2
jiǎ,jia,3
jià,jia,4
jia,jia,
jiān,jian,1
jiǎn,jian,3
jiàn,jian,4
jian,jian,
jiāng,jiang,1
jiǎng,jiang,3
jiàng,jiang,4
jiang,jiang,
jiāo,jiao,1
jiáo,jiao,2
jiǎo,jiao,3
jiào,jiao,4
jiao,jiao,
jiē,jie,1
jié,jie,2
jiě,jie,3
jiè,jie,4
jie,jie,
jīn,jin,1
jǐn,jin,3
jìn,jin,4
jīng,jing,1
jǐng,jing,3
jìng,jing,4
jing,jing,
jiōng,jiong,1
jiǒng,jiong,3
jiū,jiu,1
jiǔ,jiu,3
jiù,jiu,4
jiu,jiu,
juē,jue,1
jué,jue,2
juě,jue,3
juè,jue,4
jū,ju,1
jú,ju,2
jǔ,ju,3
jù,ju,4
ju,ju,
juān,juan,1
juǎn,juan,3
juàn,juan,4
jūn,jun,1
jùn,jun,4
qī,qi,1
qí,qi,2
qǐ,qi,3
qì,qi,4
qi,qi,
qiā,qia,1
qiá,qia,2
qiǎ,qia,3
qià,qia,4
qiān,qian,1
qián,qian,2
qiǎn,qian,3
qiàn,qian,4
qian,qian,
qiāng,qiang,1
qiáng,qiang,2
qiǎng,qiang,3
qiàng,qiang,4
qiāo,qiao,1
qiáo,qiao,2
qiǎo,qiao,3
qiào,qiao,4
qiao,qiao,
qiē,qie,1
qié,qie,2
qiě,qie,3
qiè,qie,4
qie,qie,
qīn,qin,1
qín,qin,2
qǐn,qin,3
qìn,qin,4
qin,qin,
qīng,qing,1
qíng,qing,2
qǐng,qing,3
qìng,qing,4
qing,qing,
qiōng,qiong,1
qióng,qiong,2
qiū,qiu,1
